n ms
1.000000000e+02 2.598916646e+00
3.000000000e+02 2.401459031e+00
1.000000000e+03 3.861167002e+00
3.000000000e+03 1.515841670e+01
1.000000000e+04 1.557828751e+02
3.000000000e+04 1.404335417e+03
