t v
1.440712099e+02 4.385842927e+00
1.447582153e+02 4.423785704e+00
1.454991130e+02 4.463022875e+00
1.462839631e+02 4.503636411e+00
1.470516506e+02 4.543104777e+00
1.479476287e+02 4.589458652e+00
1.489476287e+02 4.642026888e+00
1.499476287e+02 4.695782155e+00
1.509476287e+02 4.750575168e+00
1.519476287e+02 4.805543255e+00
1.529476287e+02 4.859813763e+00
1.539476287e+02 4.912290519e+00
1.549476287e+02 4.960192957e+00
1.559476287e+02 4.999493388e+00
1.569476287e+02 5.025346991e+00
1.579476287e+02 5.032320214e+00
1.589476287e+02 5.015608168e+00
1.599476287e+02 4.971368532e+00
1.609476287e+02 4.896634915e+00
1.619476287e+02 4.789128178e+00
1.629476287e+02 4.646974304e+00
1.639476287e+02 4.469992460e+00
1.649476287e+02 4.261409934e+00
1.659476287e+02 4.025956886e+00
1.669476287e+02 3.767720992e+00
1.679476287e+02 3.490619917e+00
1.688280437e+02 3.234128825e+00
1.694941255e+02 3.034770112e+00
1.701109165e+02 2.848884572e+00
1.707998971e+02 2.642831577e+00
1.715418241e+02 2.425982237e+00
1.723275662e+02 2.205324758e+00
1.730928547e+02 2.002011380e+00
1.740003098e+02 1.778633149e+00
1.750003098e+02 1.557141547e+00
1.760003098e+02 1.362928541e+00
1.770003098e+02 1.195810624e+00
1.780003098e+02 1.053853234e+00
1.790003098e+02 9.343484563e-01
1.800003098e+02 8.344346839e-01
1.810003098e+02 7.509254212e-01
1.820003098e+02 6.805697663e-01
1.830003098e+02 6.197487538e-01
1.840003098e+02 5.646694728e-01
1.850003098e+02 5.124097785e-01
1.860003098e+02 4.610392489e-01
1.870003098e+02 4.094027643e-01
1.880003098e+02 3.568804076e-01
1.890003098e+02 3.031444810e-01
1.900003098e+02 2.483670992e-01
1.910003098e+02 1.934257071e-01
1.920003098e+02 1.391852698e-01
1.930003098e+02 8.677018818e-02
1.940003098e+02 3.899738526e-02
1.948696186e+02 4.286769889e-03
1.955362453e+02 -1.604268339e-02
1.961574074e+02 -2.839876558e-02
1.968489605e+02 -3.301979620e-02
1.975921107e+02 -2.554763629e-02
1.983789032e+02 -1.805125469e-03
1.991405772e+02 3.817873999e-02
2.000633896e+02 1.108071758e-01
2.010633896e+02 2.212380020e-01
2.020633896e+02 3.664449865e-01
2.030633896e+02 5.463200642e-01
2.040633896e+02 7.573669202e-01
2.050633896e+02 9.949183252e-01
2.060633896e+02 1.254914289e+00
2.070633896e+02 1.533435900e+00
2.080633896e+02 1.826338112e+00
2.090633896e+02 2.126666259e+00
2.100633896e+02 2.424774153e+00
2.110633896e+02 2.711925361e+00
2.120633896e+02 2.981265861e+00
