t v
1.482701000e+00 7.729791125e-01
1.492701000e+00 7.752380268e-01
1.502701000e+00 7.774744643e-01
1.512701000e+00 7.796886487e-01
1.522701000e+00 7.818808015e-01
1.532701000e+00 7.840511418e-01
1.542701000e+00 7.861998866e-01
1.552701000e+00 7.883272509e-01
1.562701000e+00 7.904334475e-01
1.572701000e+00 7.925186868e-01
1.582701000e+00 7.945831775e-01
1.592701000e+00 7.966271259e-01
1.602701000e+00 7.986507366e-01
1.612701000e+00 8.006542119e-01
1.622701000e+00 8.026377521e-01
1.632701000e+00 8.046015555e-01
1.642701000e+00 8.065458187e-01
1.652701000e+00 8.084707359e-01
1.662701000e+00 8.103764997e-01
1.672701000e+00 8.122633007e-01
1.682701000e+00 8.141313276e-01
1.692701000e+00 8.159807671e-01
1.702701000e+00 8.178118042e-01
1.712701000e+00 8.196246221e-01
1.722701000e+00 8.214194020e-01
1.732701000e+00 8.231963234e-01
1.742701000e+00 8.249555639e-01
1.752701000e+00 8.266972996e-01
1.762701000e+00 8.284217046e-01
1.772701000e+00 8.301289513e-01
1.782701000e+00 8.318192105e-01
1.792701000e+00 8.334926512e-01
1.802701000e+00 8.351494407e-01
1.812701000e+00 8.367897448e-01
1.822701000e+00 8.384137274e-01
1.832701000e+00 8.400215510e-01
1.842701000e+00 8.416133764e-01
1.852701000e+00 8.431893627e-01
1.862701000e+00 8.447496676e-01
1.872701000e+00 8.462944470e-01
1.882701000e+00 8.478238555e-01
1.892701000e+00 8.493380460e-01
1.902701000e+00 8.508371699e-01
1.912701000e+00 8.523213772e-01
1.922701000e+00 8.537908162e-01
1.932701000e+00 8.552456339e-01
1.942701000e+00 8.566859759e-01
1.952701000e+00 8.581119861e-01
1.962701000e+00 8.595238071e-01
1.972701000e+00 8.609215802e-01
1.982701000e+00 8.623054451e-01
1.992701000e+00 8.636755401e-01
2.002701000e+00 8.650320024e-01
2.012701000e+00 8.663749676e-01
2.022701000e+00 8.677045699e-01
2.032701000e+00 8.690209423e-01
2.042701000e+00 8.703242165e-01
2.052701000e+00 8.716145228e-01
2.062701000e+00 8.728919903e-01
2.072701000e+00 8.741567466e-01
2.082701000e+00 8.754089182e-01
2.092701000e+00 8.766486305e-01
2.102701000e+00 8.778760073e-01
2.112701000e+00 8.790911714e-01
2.122701000e+00 8.802942443e-01
2.132701000e+00 8.814853464e-01
2.142701000e+00 8.826645967e-01
2.152701000e+00 8.838321131e-01
2.162701000e+00 8.849880125e-01
2.172701000e+00 8.861324104e-01
2.182701000e+00 8.872654212e-01
2.192701000e+00 8.883871583e-01
2.202701000e+00 8.894977339e-01
2.212701000e+00 8.905972589e-01
2.222701000e+00 8.916858434e-01
2.232701000e+00 8.927635962e-01
2.242701000e+00 8.938306251e-01
2.252701000e+00 8.948870368e-01
2.262701000e+00 8.959329369e-01
2.272701000e+00 8.969684301e-01
2.282701000e+00 8.979936198e-01
2.292701000e+00 8.990086087e-01
2.302701000e+00 9.000134981e-01
2.312701000e+00 9.010083887e-01
2.322701000e+00 9.019933799e-01
2.332701000e+00 9.029685701e-01
2.342701000e+00 9.039340570e-01
2.352701000e+00 9.048899370e-01
2.362701000e+00 9.058363058e-01
2.372701000e+00 9.067732580e-01
2.382701000e+00 9.077008873e-01
2.392701000e+00 9.086192864e-01
2.402701000e+00 9.095285472e-01
2.412701000e+00 9.104287607e-01
2.422701000e+00 9.113200168e-01
2.432701000e+00 9.122024047e-01
2.442701000e+00 9.130760126e-01
2.452701000e+00 9.139409279e-01
2.462701000e+00 9.147972371e-01
2.472701000e+00 9.156450258e-01
2.482701000e+00 9.164843787e-01
2.492701000e+00 9.173153799e-01
2.502701000e+00 9.181381125e-01
2.512701000e+00 9.189526586e-01
2.522701000e+00 9.197590998e-01
2.532701000e+00 9.205575167e-01
2.542701000e+00 9.213479892e-01
2.552701000e+00 9.221305963e-01
2.562701000e+00 9.229054162e-01
2.572701000e+00 9.236725265e-01
2.582701000e+00 9.244320039e-01
2.592701000e+00 9.251839242e-01
2.602701000e+00 9.259283628e-01
2.612701000e+00 9.266653940e-01
2.622701000e+00 9.273950916e-01
2.632701000e+00 9.281175285e-01
2.642701000e+00 9.288327769e-01
2.652701000e+00 9.295409085e-01
2.662701000e+00 9.302419940e-01
2.672701000e+00 9.309361035e-01
2.682701000e+00 9.316233065e-01
2.692701000e+00 9.323036716e-01
2.702701000e+00 9.329772669e-01
2.712701000e+00 9.336441598e-01
2.722701000e+00 9.343044169e-01
2.732701000e+00 9.349581043e-01
2.742701000e+00 9.356052873e-01
2.752701000e+00 9.362460307e-01
2.762701000e+00 9.368803986e-01
2.772701000e+00 9.375084543e-01
2.782701000e+00 9.381302607e-01
2.792701000e+00 9.387458800e-01
2.802701000e+00 9.393553738e-01
2.812701000e+00 9.399588029e-01
2.822701000e+00 9.405562277e-01
2.832701000e+00 9.411477080e-01
2.842701000e+00 9.417333030e-01
2.852701000e+00 9.423130711e-01
2.862701000e+00 9.428870704e-01
2.872701000e+00 9.434553583e-01
2.882701000e+00 9.440179915e-01
2.892701000e+00 9.445750264e-01
2.902701000e+00 9.451265187e-01
2.912701000e+00 9.456725235e-01
2.922701000e+00 9.462130954e-01
2.932701000e+00 9.467482885e-01
2.942701000e+00 9.472781563e-01
2.952701000e+00 9.478027517e-01
2.962701000e+00 9.483221273e-01
2.972701000e+00 9.488363350e-01
2.982701000e+00 9.493454262e-01
2.992701000e+00 9.498494518e-01
3.002701000e+00 9.503484622e-01
3.012701000e+00 9.508425074e-01
3.022701000e+00 9.513316367e-01
3.032701000e+00 9.518158990e-01
3.042701000e+00 9.522953428e-01
3.052701000e+00 9.527700160e-01
3.062701000e+00 9.532399661e-01
3.072701000e+00 9.537052401e-01
3.082701000e+00 9.541658844e-01
3.092701000e+00 9.546219453e-01
3.102701000e+00 9.550734682e-01
3.112701000e+00 9.555204984e-01
3.122701000e+00 9.559630805e-01
3.132701000e+00 9.564012588e-01
3.142701000e+00 9.568350771e-01
3.152701000e+00 9.572645788e-01
3.162701000e+00 9.576898069e-01
3.172701000e+00 9.581108038e-01
3.182701000e+00 9.585276118e-01
3.192701000e+00 9.589402723e-01
3.202701000e+00 9.593488269e-01
3.212701000e+00 9.597533161e-01
3.222701000e+00 9.601537807e-01
3.232701000e+00 9.605502604e-01
3.242701000e+00 9.609427952e-01
3.252701000e+00 9.613314241e-01
3.262701000e+00 9.617161860e-01
3.272701000e+00 9.620971195e-01
3.282701000e+00 9.624742626e-01
3.292701000e+00 9.628476530e-01
3.302701000e+00 9.632173281e-01
3.312701000e+00 9.635833248e-01
3.322701000e+00 9.639456798e-01
3.332701000e+00 9.643044293e-01
3.342701000e+00 9.646596091e-01
3.352701000e+00 9.650112548e-01
3.362701000e+00 9.653594015e-01
3.372701000e+00 9.657040840e-01
3.382701000e+00 9.660453369e-01
3.392701000e+00 9.663831943e-01
3.402701000e+00 9.667176899e-01
3.412701000e+00 9.670488571e-01
3.422701000e+00 9.673767292e-01
3.432701000e+00 9.677013389e-01
3.442701000e+00 9.680227186e-01
3.452701000e+00 9.683409005e-01
3.462701000e+00 9.686559164e-01
3.472701000e+00 9.689677978e-01
3.482701000e+00 9.692765760e-01
3.492701000e+00 9.695822817e-01
3.502701000e+00 9.698849455e-01
3.512701000e+00 9.701845978e-01
3.522701000e+00 9.704812685e-01
3.532701000e+00 9.707749872e-01
3.542701000e+00 9.710657834e-01
3.552701000e+00 9.713536860e-01
3.562701000e+00 9.716387240e-01
3.572701000e+00 9.719209257e-01
3.582701000e+00 9.722003195e-01
3.592701000e+00 9.724769332e-01
3.602701000e+00 9.727507946e-01
3.612701000e+00 9.730219309e-01
3.622701000e+00 9.732903694e-01
3.632701000e+00 9.735561369e-01
3.642701000e+00 9.738192599e-01
3.652701000e+00 9.740797648e-01
3.662701000e+00 9.743376776e-01
3.672701000e+00 9.745930241e-01
3.682701000e+00 9.748458298e-01
3.692701000e+00 9.750961201e-01
3.702701000e+00 9.753439199e-01
3.712701000e+00 9.755892540e-01
3.722701000e+00 9.758321470e-01
3.732701000e+00 9.760726231e-01
3.742701000e+00 9.763107065e-01
3.752701000e+00 9.765464209e-01
3.762701000e+00 9.767797898e-01
3.772701000e+00 9.770108367e-01
3.782701000e+00 9.772395846e-01
3.792701000e+00 9.774660564e-01
3.802701000e+00 9.776902747e-01
3.812701000e+00 9.779122620e-01
3.822701000e+00 9.781320405e-01
3.832701000e+00 9.783496321e-01
3.842701000e+00 9.785650587e-01
3.852701000e+00 9.787783417e-01
3.862701000e+00 9.789895025e-01
3.872701000e+00 9.791985621e-01
3.882701000e+00 9.794055416e-01
3.892701000e+00 9.796104616e-01
3.902701000e+00 9.798133426e-01
3.912701000e+00 9.800142049e-01
3.922701000e+00 9.802130685e-01
3.932701000e+00 9.804099534e-01
3.942701000e+00 9.806048792e-01
3.952701000e+00 9.807978655e-01
3.962701000e+00 9.809889315e-01
3.972701000e+00 9.811780964e-01
3.982701000e+00 9.813653790e-01
3.992701000e+00 9.815507981e-01
4.002701000e+00 9.817343723e-01
4.012701000e+00 9.819161198e-01
4.022701000e+00 9.820960589e-01
4.032701000e+00 9.822742076e-01
4.042701000e+00 9.824505836e-01
4.052701000e+00 9.826252047e-01
4.062701000e+00 9.827980882e-01
4.072701000e+00 9.829692515e-01
4.082701000e+00 9.831387117e-01
4.092701000e+00 9.833064857e-01
4.102701000e+00 9.834725903e-01
4.112701000e+00 9.836370422e-01
4.122701000e+00 9.837998577e-01
4.132701000e+00 9.839610531e-01
4.142701000e+00 9.841206446e-01
4.152701000e+00 9.842786482e-01
4.162701000e+00 9.844350795e-01
4.172701000e+00 9.845899543e-01
4.182701000e+00 9.847432881e-01
4.192701000e+00 9.848950962e-01
4.202701000e+00 9.850453938e-01
4.212701000e+00 9.851941958e-01
4.222701000e+00 9.853415173e-01
4.232701000e+00 9.854873728e-01
4.242701000e+00 9.856317771e-01
4.252701000e+00 9.857747444e-01
4.262701000e+00 9.859162893e-01
4.272701000e+00 9.860564257e-01
4.282701000e+00 9.861951677e-01
4.292701000e+00 9.863325292e-01
4.302701000e+00 9.864685240e-01
4.312701000e+00 9.866031655e-01
4.322701000e+00 9.867364674e-01
4.332701000e+00 9.868684428e-01
4.342701000e+00 9.869991051e-01
4.352701000e+00 9.871284672e-01
4.362701000e+00 9.872565422e-01
4.372701000e+00 9.873833427e-01
4.382701000e+00 9.875088816e-01
4.392701000e+00 9.876331714e-01
4.402701000e+00 9.877562244e-01
4.412701000e+00 9.878780530e-01
4.422701000e+00 9.879986694e-01
4.432701000e+00 9.881180856e-01
4.442701000e+00 9.882363136e-01
4.452701000e+00 9.883533652e-01
4.462701000e+00 9.884692521e-01
4.472701000e+00 9.885839859e-01
4.482701000e+00 9.886975781e-01
4.492701000e+00 9.888100400e-01
4.502701000e+00 9.889213829e-01
4.512701000e+00 9.890316179e-01
4.522701000e+00 9.891407560e-01
4.532701000e+00 9.892488082e-01
4.542701000e+00 9.893557853e-01
4.552701000e+00 9.894616978e-01
4.562701000e+00 9.895665566e-01
4.572701000e+00 9.896703719e-01
4.582701000e+00 9.897731543e-01
4.592701000e+00 9.898749139e-01
4.602701000e+00 9.899756611e-01
4.612701000e+00 9.900754057e-01
4.622701000e+00 9.901741579e-01
4.632701000e+00 9.902719275e-01
4.642701000e+00 9.903687242e-01
4.652701000e+00 9.904645578e-01
4.662701000e+00 9.905594378e-01
4.672701000e+00 9.906533738e-01
4.682701000e+00 9.907463750e-01
4.692701000e+00 9.908384509e-01
4.702701000e+00 9.909296106e-01
4.712701000e+00 9.910198632e-01
4.722701000e+00 9.911092178e-01
4.732701000e+00 9.911976833e-01
4.742701000e+00 9.912852686e-01
4.752701000e+00 9.913719823e-01
4.762701000e+00 9.914578332e-01
4.772701000e+00 9.915428299e-01
4.782701000e+00 9.916269809e-01
4.792701000e+00 9.917102945e-01
4.802701000e+00 9.917927791e-01
4.812701000e+00 9.918744430e-01
4.822701000e+00 9.919552943e-01
4.832701000e+00 9.920353411e-01
4.842701000e+00 9.921145915e-01
4.852701000e+00 9.921930533e-01
4.862701000e+00 9.922707343e-01
4.872701000e+00 9.923476424e-01
4.882701000e+00 9.924237853e-01
4.892701000e+00 9.924991705e-01
4.902701000e+00 9.925738056e-01
4.912701000e+00 9.926476981e-01
4.922701000e+00 9.927208554e-01
4.932701000e+00 9.927932847e-01
4.942701000e+00 9.928649933e-01
4.952701000e+00 9.929359884e-01
4.962701000e+00 9.930062770e-01
4.972701000e+00 9.930758663e-01
4.982701000e+00 9.931447632e-01
4.992701000e+00 9.932129745e-01
5.000000000e+00 9.932623328e-01
